1  3.43055	1.696926e+00	-3.967977e-01	1.103442e+00	1.222964e+00	1.274148e+00	1.319687e+00	1.360273e+00	1.402335e+00	1.446831e+00	1.498674e+00	1.567278e+00	1.744785e+00	-2.800000e+00	2.200000e+00	6.721664e+01	2.276800e+00	1.217730e-01	9.582133e-01	3.046308e+00	3.213428e-01	8.141801e-01	
2  3.51479	1.735575e+00	-4.354787e-01	1.102617e+00	1.221238e+00	1.272462e+00	1.318331e+00	1.358668e+00	1.400851e+00	1.445269e+00	1.497156e+00	1.565760e+00	1.743376e+00	-2.800000e+00	2.200000e+00	6.733483e+01	2.284075e+00	1.219697e-01	9.575982e-01	3.046752e+00	3.208099e-01	8.148665e-01	
1  2.898	1.722337e+00	-4.111035e-01	1.102892e+00	1.222736e+00	1.273907e+00	1.319427e+00	1.360076e+00	1.402141e+00	1.446671e+00	1.498536e+00	1.567165e+00	1.744726e+00	-2.800000e+00	2.200000e+00	6.717527e+01	2.271057e+00	1.215370e-01	9.587195e-01	3.048118e+00	3.210884e-01	8.143279e-01	
2  2.76136	1.695298e+00	-3.850022e-01	1.098989e+00	1.219913e+00	1.270892e+00	1.316307e+00	1.357104e+00	1.399204e+00	1.443808e+00	1.495769e+00	1.564462e+00	1.742255e+00	-2.800000e+00	2.200000e+00	6.706165e+01	2.248299e+00	1.207189e-01	9.596148e-01	3.056866e+00	3.198522e-01	8.158410e-01	
2  2.03185	1.695298e+00	-3.850022e-01	1.098989e+00	1.219913e+00	1.270892e+00	1.316803e+00	1.357153e+00	1.398617e+00	1.444681e+00	1.495104e+00	1.565841e+00	1.741738e+00	-2.740232e+00	2.205263e+00	6.701770e+01	2.261720e+00	1.204594e-01	9.603237e-01	3.061352e+00	3.199928e-01	8.157766e-01	
2  2.32344	1.695298e+00	-3.850022e-01	1.098989e+00	1.219913e+00	1.270892e+00	1.317570e+00	1.356746e+00	1.399129e+00	1.443737e+00	1.498914e+00	1.563968e+00	1.745629e+00	-2.800366e+00	2.256059e+00	6.551553e+01	2.046317e+00	1.162067e-01	9.638139e-01	3.079224e+00	3.199088e-01	8.155855e-01	
7  2.55548	1.695298e+00	-3.850022e-01	1.098989e+00	1.219913e+00	1.270892e+00	1.317033e+00	1.358922e+00	1.398048e+00	1.444713e+00	1.496314e+00	1.566821e+00	1.740065e+00	-2.693502e+00	2.088567e+00	6.547680e+01	2.053053e+00	1.159481e-01	9.644066e-01	3.082878e+00	3.198415e-01	8.155394e-01	
4  2.70443	1.695298e+00	-3.850022e-01	1.098989e+00	1.219913e+00	1.270892e+00	1.315639e+00	1.359285e+00	1.397351e+00	1.443586e+00	1.496717e+00	1.564917e+00	1.741575e+00	-2.795823e+00	2.173121e+00	6.568862e+01	2.083012e+00	1.166163e-01	9.621583e-01	3.081268e+00	3.200248e-01	8.157638e-01	
2  3.21355	1.703195e+00	-3.881717e-01	1.096735e+00	1.218403e+00	1.269780e+00	1.313873e+00	1.357989e+00	1.395883e+00	1.442292e+00	1.495438e+00	1.563719e+00	1.740515e+00	-2.795823e+00	2.173121e+00	6.555549e+01	2.063451e+00	1.159117e-01	9.632239e-01	3.087537e+00	3.192313e-01	8.164526e-01	
5  3.08055	1.711595e+00	-4.038021e-01	1.097245e+00	1.216630e+00	1.269534e+00	1.312677e+00	1.357238e+00	1.394817e+00	1.441353e+00	1.494405e+00	1.562704e+00	1.739494e+00	-2.795823e+00	2.173121e+00	6.569647e+01	2.075477e+00	1.163162e-01	9.622195e-01	3.085932e+00	3.190785e-01	8.168882e-01	
5  2.20738	1.711595e+00	-4.038021e-01	1.097245e+00	1.216630e+00	1.269534e+00	1.313507e+00	1.356420e+00	1.394334e+00	1.442318e+00	1.493111e+00	1.561456e+00	1.742730e+00	-2.783303e+00	2.078351e+00	6.658053e+01	2.180928e+00	1.189417e-01	9.604205e-01	3.070173e+00	3.189628e-01	8.169163e-01	
2  2.38793	1.711595e+00	-4.038021e-01	1.097245e+00	1.216630e+00	1.269534e+00	1.313375e+00	1.356038e+00	1.395402e+00	1.441967e+00	1.494232e+00	1.562778e+00	1.743543e+00	-2.753353e+00	2.006200e+00	6.640560e+01	2.168008e+00	1.182528e-01	9.628979e-01	3.074342e+00	3.187902e-01	8.167238e-01	
6  2.55067	1.711595e+00	-4.038021e-01	1.097245e+00	1.216630e+00	1.269534e+00	1.314321e+00	1.356397e+00	1.394451e+00	1.443166e+00	1.494414e+00	1.563194e+00	1.740240e+00	-2.646410e+00	2.004900e+00	6.642329e+01	2.180323e+00	1.183196e-01	9.624317e-01	3.075719e+00	3.190509e-01	8.166713e-01	
1  3.35562	1.729879e+00	-4.236524e-01	1.096801e+00	1.215793e+00	1.269777e+00	1.313475e+00	1.356197e+00	1.393908e+00	1.442836e+00	1.494012e+00	1.562859e+00	1.739934e+00	-2.646410e+00	2.004900e+00	6.636699e+01	2.172916e+00	1.180594e-01	9.628298e-01	3.077923e+00	3.188335e-01	8.168826e-01	
5  4.34352	1.730180e+00	-4.319240e-01	1.098573e+00	1.216074e+00	1.270027e+00	1.314234e+00	1.356530e+00	1.394375e+00	1.443140e+00	1.494299e+00	1.563075e+00	1.740062e+00	-2.646410e+00	2.004900e+00	6.656236e+01	2.195791e+00	1.188602e-01	9.613733e-01	3.072135e+00	3.192883e-01	8.166181e-01	
