3  2.34574	1.727598e+00	-4.196262e-01	1.100164e+00	1.221269e+00	1.273339e+00	1.317397e+00	1.359016e+00	1.400656e+00	1.445527e+00	1.497355e+00	1.566118e+00	1.743818e+00	-2.800000e+00	2.200000e+00	6.692859e+01	2.240138e+00	1.204721e-01	9.604097e-01	3.056673e+00	3.203922e-01	8.151046e-01	
6  2.63276	1.729524e+00	-4.178445e-01	1.097125e+00	1.218948e+00	1.271473e+00	1.314832e+00	1.356950e+00	1.398418e+00	1.443476e+00	1.495336e+00	1.564190e+00	1.742079e+00	-2.800000e+00	2.200000e+00	6.679457e+01	2.217756e+00	1.196612e-01	9.615043e-01	3.064514e+00	3.193598e-01	8.162330e-01	
4  1.97044	1.729524e+00	-4.178445e-01	1.097125e+00	1.218948e+00	1.271473e+00	1.315739e+00	1.357208e+00	1.397502e+00	1.444765e+00	1.495003e+00	1.564162e+00	1.743525e+00	-2.763214e+00	2.320976e+00	6.709575e+01	2.275632e+00	1.203428e-01	9.611807e-01	3.064567e+00	3.192990e-01	8.161632e-01	
1  3.64492	1.729524e+00	-4.178445e-01	1.097125e+00	1.218948e+00	1.271473e+00	1.317081e+00	1.357564e+00	1.397815e+00	1.446029e+00	1.494598e+00	1.564246e+00	1.745931e+00	-2.856878e+00	2.145886e+00	6.670337e+01	2.226049e+00	1.190795e-01	9.623691e-01	3.071781e+00	3.191128e-01	8.161367e-01	
4  4.49488	1.729524e+00	-4.178445e-01	1.097125e+00	1.218948e+00	1.271473e+00	1.315968e+00	1.359179e+00	1.396913e+00	1.445521e+00	1.494548e+00	1.564466e+00	1.742770e+00	-2.923644e+00	2.196279e+00	6.586571e+01	2.122282e+00	1.165279e-01	9.643009e-01	3.086522e+00	3.190077e-01	8.160264e-01	
1  5.41799	1.729524e+00	-4.178445e-01	1.097125e+00	1.218948e+00	1.271473e+00	1.316240e+00	1.359496e+00	1.396641e+00	1.446401e+00	1.494185e+00	1.564589e+00	1.746090e+00	-2.796167e+00	2.238673e+00	6.619072e+01	2.173978e+00	1.174028e-01	9.635555e-01	3.083486e+00	3.190596e-01	8.159124e-01	
9  5.4644	1.745747e+00	-4.484610e-01	1.101250e+00	1.221690e+00	1.275081e+00	1.319193e+00	1.362704e+00	1.399565e+00	1.449372e+00	1.496985e+00	1.567351e+00	1.748581e+00	-2.796167e+00	2.238673e+00	6.627974e+01	2.195313e+00	1.182180e-01	9.625589e-01	3.074643e+00	3.205443e-01	8.144272e-01	
1  6.37073	1.745747e+00	-4.484610e-01	1.101250e+00	1.221690e+00	1.275081e+00	1.320103e+00	1.363080e+00	1.399056e+00	1.451120e+00	1.497639e+00	1.567358e+00	1.749317e+00	-2.794388e+00	2.208024e+00	6.634060e+01	2.208526e+00	1.183260e-01	9.634910e-01	3.074682e+00	3.205020e-01	8.144969e-01	
6  7.26576	1.745747e+00	-4.484610e-01	1.101250e+00	1.221690e+00	1.275081e+00	1.320719e+00	1.363585e+00	1.399892e+00	1.451504e+00	1.496359e+00	1.567613e+00	1.750045e+00	-2.646793e+00	2.342085e+00	6.648116e+01	2.219877e+00	1.189848e-01	9.625842e-01	3.069009e+00	3.208957e-01	8.144348e-01	
3  4.93963	1.745747e+00	-4.484610e-01	1.101250e+00	1.221690e+00	1.275081e+00	1.319603e+00	1.361775e+00	1.403025e+00	1.449281e+00	1.498896e+00	1.568329e+00	1.751612e+00	-2.569136e+00	2.381625e+00	6.635034e+01	2.210858e+00	1.185349e-01	9.631105e-01	3.072978e+00	3.209356e-01	8.144739e-01	
3  3.91606	1.717800e+00	-4.157279e-01	1.103301e+00	1.222982e+00	1.276440e+00	1.321137e+00	1.363171e+00	1.404443e+00	1.450636e+00	1.500212e+00	1.569586e+00	1.752728e+00	-2.569136e+00	2.381625e+00	6.643148e+01	2.224142e+00	1.190147e-01	9.624839e-01	3.068202e+00	3.215403e-01	8.137847e-01	
1  4.34807	1.713700e+00	-4.108600e-01	1.098551e+00	1.221428e+00	1.271202e+00	1.319062e+00	1.359341e+00	1.401716e+00	1.447380e+00	1.497325e+00	1.566636e+00	1.750106e+00	-2.569136e+00	2.381625e+00	6.640683e+01	2.210462e+00	1.184750e-01	9.629363e-01	3.075312e+00	3.202450e-01	8.152983e-01	
2  4.93184	1.708384e+00	-3.954457e-01	1.094937e+00	1.217175e+00	1.268164e+00	1.315009e+00	1.355944e+00	1.398055e+00	1.443954e+00	1.493924e+00	1.563334e+00	1.747053e+00	-2.569136e+00	2.381625e+00	6.636710e+01	2.192635e+00	1.177787e-01	9.635539e-01	3.083980e+00	3.186428e-01	8.170334e-01	
3  5.67131	1.708384e+00	-3.954457e-01	1.094937e+00	1.217175e+00	1.268164e+00	1.314244e+00	1.353651e+00	1.397886e+00	1.444834e+00	1.491233e+00	1.563232e+00	1.743811e+00	-2.437968e+00	2.344752e+00	6.652858e+01	2.200506e+00	1.185499e-01	9.618372e-01	3.077507e+00	3.190182e-01	8.171921e-01	
1  5.37321	1.708384e+00	-3.954457e-01	1.094937e+00	1.217175e+00	1.268164e+00	1.313885e+00	1.353767e+00	1.398488e+00	1.443649e+00	1.492479e+00	1.562625e+00	1.741029e+00	-2.445751e+00	2.233072e+00	6.612010e+01	2.141942e+00	1.174839e-01	9.622900e-01	3.082109e+00	3.191942e-01	8.172600e-01	
