1  2.79178	1.699004e+00	-3.880223e-01	1.100361e+00	1.221448e+00	1.273917e+00	1.317523e+00	1.359434e+00	1.400925e+00	1.445889e+00	1.497679e+00	1.566451e+00	1.744112e+00	6.688489e+01	2.236292e+00	1.203555e-01	9.606600e-01	3.057074e+00	3.204643e-01	8.149722e-01	
3  2.95127	1.691055e+00	-3.838939e-01	1.099567e+00	1.219633e+00	1.272701e+00	1.315996e+00	1.358043e+00	1.399449e+00	1.444452e+00	1.496236e+00	1.565020e+00	1.742745e+00	6.695780e+01	2.239053e+00	1.204326e-01	9.601819e-01	3.058195e+00	3.200004e-01	8.156398e-01	
3  4.20748	1.679625e+00	-3.669419e-01	1.099834e+00	1.217718e+00	1.270595e+00	1.314955e+00	1.356260e+00	1.398006e+00	1.442751e+00	1.494606e+00	1.563301e+00	1.741068e+00	6.725418e+01	2.264634e+00	1.212550e-01	9.583573e-01	3.054533e+00	3.195701e-01	8.162725e-01	
1  4.19299	1.679625e+00	-3.669419e-01	1.099834e+00	1.217718e+00	1.270595e+00	1.314458e+00	1.355340e+00	1.399113e+00	1.441753e+00	1.494653e+00	1.562200e+00	1.741079e+00	6.767066e+01	2.327388e+00	1.225421e-01	9.579199e-01	3.048200e+00	3.198295e-01	8.161265e-01	
1  3.76718	1.679625e+00	-3.669419e-01	1.099834e+00	1.217718e+00	1.270595e+00	1.314030e+00	1.354989e+00	1.396799e+00	1.444601e+00	1.493017e+00	1.561995e+00	1.739313e+00	6.803477e+01	2.364926e+00	1.237250e-01	9.549191e-01	3.041593e+00	3.197820e-01	8.160808e-01	
3  4.13663	1.679625e+00	-3.669419e-01	1.099834e+00	1.217718e+00	1.270595e+00	1.314728e+00	1.355080e+00	1.397211e+00	1.441956e+00	1.496322e+00	1.559690e+00	1.742958e+00	6.776678e+01	2.319862e+00	1.230333e-01	9.548887e-01	3.043464e+00	3.198285e-01	8.160744e-01	
6  4.58681	1.679625e+00	-3.669419e-01	1.099834e+00	1.217718e+00	1.270595e+00	1.315408e+00	1.355266e+00	1.397044e+00	1.442913e+00	1.496642e+00	1.559607e+00	1.744992e+00	6.784956e+01	2.344279e+00	1.231070e-01	9.551458e-01	3.046008e+00	3.197392e-01	8.161667e-01	
1  4.69107	1.690361e+00	-3.746465e-01	1.098631e+00	1.217689e+00	1.267921e+00	1.315392e+00	1.353687e+00	1.396344e+00	1.441717e+00	1.495680e+00	1.558541e+00	1.744047e+00	6.797189e+01	2.353691e+00	1.233835e-01	9.545124e-01	3.045337e+00	3.193916e-01	8.165945e-01	
1  4.04775	1.705326e+00	-3.962165e-01	1.100658e+00	1.219696e+00	1.269462e+00	1.317397e+00	1.355365e+00	1.398135e+00	1.443388e+00	1.497329e+00	1.560139e+00	1.745519e+00	6.802264e+01	2.365927e+00	1.238421e-01	9.539974e-01	3.040311e+00	3.201706e-01	8.156616e-01	
10  6.04759	1.687587e+00	-3.923018e-01	1.101371e+00	1.222163e+00	1.270069e+00	1.319382e+00	1.356538e+00	1.399740e+00	1.444726e+00	1.498745e+00	1.561482e+00	1.746783e+00	6.799032e+01	2.368657e+00	1.240004e-01	9.539165e-01	3.037588e+00	3.208767e-01	8.149227e-01	
1  8.15288	1.687587e+00	-3.923018e-01	1.101371e+00	1.222163e+00	1.270069e+00	1.320936e+00	1.356583e+00	1.400838e+00	1.445329e+00	1.500980e+00	1.561837e+00	1.745439e+00	6.733221e+01	2.288067e+00	1.220120e-01	9.562339e-01	3.047970e+00	3.210163e-01	8.148571e-01	
1  8.22108	1.687587e+00	-3.923018e-01	1.101371e+00	1.222163e+00	1.270069e+00	1.320295e+00	1.356280e+00	1.401327e+00	1.443710e+00	1.501408e+00	1.561457e+00	1.743690e+00	6.837581e+01	2.406374e+00	1.251595e-01	9.537500e-01	3.028427e+00	3.205548e-01	8.146202e-01	
2  9.4898	1.687587e+00	-3.923018e-01	1.101371e+00	1.222163e+00	1.270069e+00	1.321596e+00	1.355755e+00	1.404594e+00	1.443226e+00	1.502676e+00	1.562557e+00	1.742287e+00	6.797409e+01	2.369262e+00	1.238392e-01	9.554124e-01	3.037476e+00	3.206941e-01	8.145873e-01	
3  11.7052	1.668353e+00	-3.808247e-01	1.102155e+00	1.224610e+00	1.272254e+00	1.323385e+00	1.357840e+00	1.406536e+00	1.445267e+00	1.504665e+00	1.564565e+00	1.744181e+00	6.778641e+01	2.356866e+00	1.234889e-01	9.563924e-01	3.037513e+00	3.214402e-01	8.137108e-01	
5  14.3559	1.656961e+00	-3.745395e-01	1.100770e+00	1.224258e+00	1.271486e+00	1.322706e+00	1.357153e+00	1.405901e+00	1.444640e+00	1.504080e+00	1.564001e+00	1.743685e+00	6.770000e+01	2.345618e+00	1.231109e-01	9.569268e-01	3.040743e+00	3.211912e-01	8.140859e-01	
5  15.1975	1.656961e+00	-3.745395e-01	1.100770e+00	1.224258e+00	1.271486e+00	1.321880e+00	1.358027e+00	1.405202e+00	1.445286e+00	1.503431e+00	1.563993e+00	1.741718e+00	6.843282e+01	2.423758e+00	1.254623e-01	9.546954e-01	3.025059e+00	3.210386e-01	8.138550e-01	
1  14.9837	1.656961e+00	-3.745395e-01	1.100770e+00	1.224258e+00	1.271486e+00	1.322294e+00	1.357824e+00	1.404314e+00	1.447661e+00	1.500953e+00	1.567364e+00	1.736140e+00	6.809671e+01	2.364355e+00	1.247001e-01	9.563739e-01	3.023848e+00	3.212908e-01	8.135633e-01	
